,Rate,Votes,Duration,A_Severe,Approved,Passed,PG,F_No.Rate,N_Mild,Series,V_Mild,Predicted
4144,6.4,178555,95,0,0,0,0,0,0,0,0,6.619131215
4161,6.3,10278,107,0,0,0,0,0,0,0,1,6.414029614
4186,7.3,2576,122,0,1,0,0,1,0,0,0,6.801905488
4195,5.8,129197,106,0,0,0,0,0,1,0,1,6.596873561
4227,6.5,110280,104,0,0,0,0,0,1,0,0,6.45775364
4237,6.8,293541,92,0,0,0,0,0,1,0,0,6.787538033
4242,1.9,89557,87,1,0,0,0,0,0,0,0,6.576498241
4246,7.5,24014,60,0,0,0,0,1,0,1,0,7.257940182
4249,6.7,59570,98,0,0,0,1,0,1,0,1,6.53713441
4257,7.7,5011,270,0,0,0,0,1,1,1,1,7.945527143
4269,6.3,71014,112,0,0,0,1,0,0,0,1,6.659091182
4277,7.2,1682,30,0,0,0,0,1,0,1,0,7.115185866
4281,5.6,76101,93,0,0,0,0,0,0,0,0,6.406371313
4284,7.1,15010,122,0,0,0,0,0,0,0,0,6.37793513
4342,5.4,3081,91,0,0,0,1,0,0,0,0,6.359362053
4379,7.3,1285,136,0,0,0,0,1,0,0,0,6.023946705
4382,5.8,114171,106,0,0,0,1,0,0,0,0,6.631886223
4383,6.2,4308,88,0,0,0,0,0,1,0,1,6.286792004
4390,7,321345,108,0,0,0,0,0,1,0,1,6.990187485
4393,6.8,35309,94,0,0,0,0,0,1,0,1,6.368757017
4405,8.3,8865,70,0,0,0,0,0,0,1,0,7.632045245
4407,7.9,236266,100,0,0,0,0,0,0,0,1,6.846123458
4433,7.2,1811,86,0,0,0,0,1,0,1,0,7.298005543
4445,6.9,10643,109,0,0,0,0,0,0,0,0,6.326764359
4476,7.1,55577,102,0,0,0,1,0,1,0,1,6.542136501
4486,6.6,2535,30,0,0,0,0,1,0,1,0,7.116902955
4503,6.6,15119,106,0,0,0,0,0,0,0,1,6.420514547
4511,6.7,21983,132,0,0,0,0,0,1,0,0,6.371291779
4513,6.1,143081,101,1,0,0,0,0,0,0,0,6.729882053
4517,7.1,86088,97,0,0,0,0,0,0,0,0,6.439515144
4528,5.4,4180,119,0,0,0,0,0,0,0,1,6.44087434
4532,7.9,8746,30,0,0,0,0,0,0,1,0,7.501405698
4540,5.3,41783,90,0,0,0,0,0,0,0,0,6.327509179
4545,6.6,15831,60,1,0,0,0,0,0,1,0,7.776067803
4546,5.8,93261,133,0,0,0,0,0,1,0,0,6.518034393
4564,5.6,51927,110,0,0,0,0,0,0,0,0,6.413129051
4565,7.2,13860,23,0,0,0,0,0,0,1,0,7.48888018
4574,7.6,75602,115,0,0,0,0,0,0,0,0,6.477086826
4579,8.2,14650,23,0,0,0,0,0,1,1,1,7.53171045
4591,6.6,1655,30,0,0,0,0,0,1,1,0,7.433851515
4592,6.6,78414,104,1,0,0,0,0,0,0,1,6.704007382
4595,5.9,19865,100,0,0,0,0,0,0,0,0,6.315988245
4606,7.6,1020,25,0,0,0,0,0,0,1,0,7.46955326
4616,6.6,13063,43,0,0,0,0,0,1,1,1,7.593715819
4621,5.1,62546,89,0,0,0,0,0,0,0,0,6.366045098
4642,5.3,1000,82,0,0,0,0,0,1,0,1,6.260573
4666,8.1,111181,85,0,0,0,0,0,0,0,0,6.450907353
4667,6.2,2087,30,0,0,0,0,1,0,1,0,7.116001131
4669,6.8,151771,104,0,0,0,0,0,0,0,1,6.689075023
4674,5.8,81998,89,0,0,0,0,0,1,0,0,6.351921974
4680,2.7,70,97,0,0,0,0,1,0,0,0,5.89436091
4695,8,11713,23,0,0,0,0,0,0,1,0,7.484558269
4702,5.1,44661,87,0,0,0,0,0,0,0,0,6.323522593
4715,5.7,8455,30,0,0,0,0,0,0,1,1,7.595339915
4722,7.2,21218,42,0,0,0,0,0,0,1,0,7.565631834
4734,8.1,9023,24,0,0,0,0,0,1,1,0,7.429123299
4740,6.3,19964,87,0,0,0,0,0,0,0,0,6.273807532
4741,6.4,17770,119,0,0,0,1,0,0,0,1,6.57473101
4742,6.8,106632,125,0,0,0,0,0,1,0,0,6.518870216
4747,6.3,56036,93,1,0,0,0,0,0,0,1,6.623100468
4751,8.3,150448,107,0,0,1,0,0,0,0,1,8.106191824
